ID,name,unit name,decimals
1000168841,1000168841,1000168841,6
1000169600,1000169600,1000169600,6
1000695333,HAN 11 CSTM,HAN11cst,0
1000870705,Treats,TRTS,1
1001501503,BONK INU,Bonk,0
1001725204,Smile #001,SMILE001,0
1001734331,Smile #005,SMILE005,0
1001893739,Aurora borealis #4,AURORA ,0
1002587769,TinymanPool2.0 USDC-USDt,TMPOOL2,6
1002588404,TinymanPool2.0 AKTA-ALGO,TMPOOL2,6
1002589184,TinymanPool2.0 Planets-ALGO,TMPOOL2,6
1002589719,TinymanPool2.0 YLDY-ALGO,TMPOOL2,6
1002590888,TinymanPool2.0 USDC-ALGO,TMPOOL2,6
1002601206,TinymanPool2.0 goETH-ALGO,TMPOOL2,6
1002607085,TinymanPool2.0 STKE-ALGO,TMPOOL2,6
1002608219,TinymanPool2.0 GP-ALGO,TMPOOL2,6
1002625846,TinymanPool2.0 HDL-ALGO,TMPOOL2,6
1002661041,TinymanPool2.0 SMILE-ALGO,TMPOOL2,6
1002665779,TinymanPool2.0 XGLI-ALGO,TMPOOL2,6
1002669230,TinymanPool2.0 COSG-ALGO,TMPOOL2,6
1002716026,TinymanPool2.0 YARN-ALGO,TMPOOL2,6
1002756311,TinymanPool2.0 SUPER-ALGO,TMPOOL2,6
1002775463,TinymanPool2.0 ZONE-ALGO,TMPOOL2,6
1002793815,TinymanPool2.0 MCAU-ALGO,TMPOOL2,6
1003103300,TinymanPool2.0 META-ALGO,TMPOOL2,6
1003527093,EXA Lootbox,ELBX,0
1004203942,AI Rocks 072,ROCKS072,0
1004206843,AI Rocks 098,ROCKS098,0
1004389589,Ribblin the Adventurer,RIBB-020,0
1004725269,AlgoRaccoon #645,RAC0645,0
1004725945,AlgoRaccoon #799,RAC0799,0
1005174737,TinymanPool2.0 OMNI-ALGO,TMPOOL2,6
1005243474,AlgoSkull #2530,SKULL,0
1005245302,Untitled 30,Art,0
1006571183,Boy With Red Balloon,1006571183,0
1007511815,TinymanPool2.0 AO-USDC,TMPOOL2,6
1008035666,Armadillosaurus 6,Saurus 6,0
1009078085,Tinygear,tnygear,0
1009858233,Moistbacks,MBCK,4
1009955869,The Lighthouse #0340,TLH#0340,0
1010140839,Baby Governor,babygov5,0
1010762573,TinymanPool2.0 PRSMS-ALGO,TMPOOL2,6
1010810412,DegenSpAce,DGS,0
1010838509,Acid Toke,$Tokes,0
1011437864,TinymanPool2.0 DEFLY-OPUL,TMPOOL2,6
1012320731,OnlyFaes #2429,FAES2429,0
1013333972,Sky of ALGO,SKY OF ,0
1013378713,Tokenizing Start Ups,TSU,2
1013581183,TinymanPool2.0 xUSD-ALGO,TMPOOL2,6
1013729713,USDC/xUSD [SI] PACT LP TKN,SIPLP,6
1014620168,Cosmic Champs S2 Shuffle token,CCS2_WL,0
1015306585,HoNk,HONK,0
1015413602,Tiger Chi Redraw,Tigerchi,0
1015673913,Workout And Research,WAR,0
1015909066,Gov #0995,GOV0995,0
1016197778,DragonFi Moon Dragons #442,MNDG442,0
1016197914,DragonFi Moon Dragons #492,MNDG492,0
1016261853,TinymanPool2.0 Doggy-ALGO,TMPOOL2,6
1017312787,Volcano Bonds,VBSV,4
1017366089,Feed Yourself - Crash N Burn 1,FeedUC1,0
1017542018,Musii Sea Lions #0497,MSL0497,0
1017564227,Musii Sea Lions #0692,MSL0692,0
1017570535,Musii Sea Lions #0755,MSL0755,0
1017684369,Musii Sea Lions #1657,MSL1657,0
1017734440,Musii Sea Lions #2136,MSL2136,0
1017756254,Musii Sea Lions #2348,MSL2348,0
1017835240,Mental Marvin #588,MMRV588,0
1017909813,TinymanPool2.0 OPYX-ALGO,TMPOOL2,6
1017929048,Mental Marvin #1500,MMRV1500,0
1018462370,DEGEN DAO 2.1.0,DEGEN2,0
1019910915,ALGO/GOLD$ PACT LP Token,PLP,6
1020825306,Full Supply Algorand,FSA,0
